day,reset,rating_received,current_rating,ratings_since_reset,above_threshold
120,0,,4.93,15,True
121,0,,4.93,15,True
122,0,,4.93,15,True
123,0,4,4.88,16,True
124,0,,4.88,16,True
125,0,,4.88,16,True
126,0,,4.88,16,True
127,0,3,4.76,17,False
128,1,,0.00,0,False
129,0,3,3.00,1,False
130,1,,0.00,0,False
131,0,,0.00,0,False
132,0,,0.00,0,False
133,0,1,1.00,1,False
134,1,5,5.00,1,True
135,0,,5.00,1,True
136,0,,5.00,1,True
137,0,,5.00,1,True
138,0,,5.00,1,True
139,0,,5.00,1,True
140,0,,5.00,1,True
141,0,,5.00,1,True
142,0,,5.00,1,True
143,0,5,5.00,2,True
144,0,5,5.00,3,True
145,0,,5.00,3,True
146,0,,5.00,3,True
147,0,,5.00,3,True
148,0,,5.00,3,True
149,0,,5.00,3,True
150,0,,5.00,3,True
151,0,5,5.00,4,True
152,0,,5.00,4,True
153,0,,5.00,4,True
154,0,,5.00,4,True
155,0,,5.00,4,True
156,0,,5.00,4,True
157,0,,5.00,4,True
158,0,,5.00,4,True
159,0,,5.00,4,True
160,0,4,4.80,5,True
161,0,,4.80,5,True
162,0,5,4.83,6,True
163,0,,4.83,6,True
164,0,,4.83,6,True
165,0,,4.83,6,True
166,0,5,4.86,7,True
167,0,,4.86,7,True
168,0,,4.86,7,True
169,0,,4.86,7,True
170,0,,4.86,7,True
171,0,,4.86,7,True
172,0,,4.86,7,True
173,0,,4.86,7,True
174,0,,4.86,7,True
175,0,,4.86,7,True
176,0,5,4.88,8,True
177,0,5,4.89,9,True
178,0,,4.89,9,True
179,0,5,4.90,10,True
180,0,,4.90,10,True
181,0,,4.90,10,True
182,0,,4.90,10,True
183,0,,4.90,10,True
184,0,,4.90,10,True
185,0,,4.90,10,True
186,0,,4.90,10,True
187,0,,4.90,10,True
188,0,,4.90,10,True
189,0,,4.90,10,True
190,0,,4.90,10,True
191,0,,4.90,10,True
192,0,,4.90,10,True
193,0,,4.90,10,True
194,0,,4.90,10,True
195,0,,4.90,10,True
196,0,,4.90,10,True
197,0,,4.90,10,True
198,0,,4.90,10,True
199,0,,4.90,10,True
200,0,,4.90,10,True
201,0,,4.90,10,True
202,0,,4.90,10,True
203,0,5,4.91,11,True
204,0,,4.91,11,True
205,0,,4.91,11,True
206,0,,4.91,11,True
207,0,,4.91,11,True
208,0,5,4.92,12,True
209,0,,4.92,12,True
210,0,,4.92,12,True
211,0,,4.92,12,True
212,0,,4.92,12,True
213,0,,4.92,12,True
214,0,,4.92,12,True
215,0,,4.92,12,True
216,0,,4.92,12,True
217,0,5,4.92,13,True
218,0,,4.92,13,True
219,0,,4.92,13,True
220,0,,4.92,13,True
221,0,,4.92,13,True
222,0,,4.92,13,True
223,0,,4.92,13,True
224,0,5,4.93,14,True
225,0,,4.93,14,True
226,0,5,4.93,15,True
227,0,,4.93,15,True
228,0,,4.93,15,True
229,0,,4.93,15,True
230,0,,4.93,15,True
231,0,,4.93,15,True
232,0,,4.93,15,True
233,0,,4.93,15,True
234,0,,4.93,15,True
235,0,5,4.94,16,True
236,0,4,4.88,17,True
237,0,,4.88,17,True
238,0,,4.88,17,True
239,0,,4.88,17,True
240,0,,4.88,17,True
241,0,,4.88,17,True
242,0,,4.88,17,True
243,0,,4.88,17,True
244,0,5,4.89,18,True
245,0,,4.89,18,True
246,0,,4.89,18,True
247,0,,4.89,18,True
248,0,,4.89,18,True
249,0,,4.89,18,True
250,0,,4.89,18,True
251,0,,4.89,18,True
252,0,,4.89,18,True
253,0,5,4.89,19,True
254,0,,4.89,19,True
255,0,,4.89,19,True
256,0,,4.89,19,True
257,0,,4.89,19,True
258,0,,4.89,19,True
259,0,,4.89,19,True
260,0,,4.89,19,True
261,0,,4.89,19,True
262,0,,4.89,19,True
263,0,,4.89,19,True
264,0,,4.89,19,True
265,0,1,4.70,20,False
266,1,,0.00,0,False
267,0,,0.00,0,False
268,0,,0.00,0,False
269,0,,0.00,0,False
270,0,,0.00,0,False
271,0,,0.00,0,False
272,0,,0.00,0,False
273,0,,0.00,0,False
274,0,,0.00,0,False
275,0,,0.00,0,False
276,0,,0.00,0,False
277,0,,0.00,0,False
278,0,3,3.00,1,False
279,1,,0.00,0,False
280,0,,0.00,0,False
281,0,,0.00,0,False
282,0,,0.00,0,False
283,0,,0.00,0,False
284,0,5,5.00,1,True
285,0,,5.00,1,True
286,0,,5.00,1,True
287,0,,5.00,1,True
288,0,,5.00,1,True
289,0,,5.00,1,True
290,0,,5.00,1,True
291,0,,5.00,1,True
292,0,,5.00,1,True
293,0,,5.00,1,True
294,0,5,5.00,2,True
295,0,,5.00,2,True
296,0,,5.00,2,True
297,0,,5.00,2,True
298,0,,5.00,2,True
299,0,,5.00,2,True
300,0,5,5.00,3,True
301,0,5,5.00,4,True
302,0,,5.00,4,True
303,0,5,5.00,5,True
304,0,,5.00,5,True
305,0,,5.00,5,True
306,0,,5.00,5,True
307,0,,5.00,5,True
308,0,,5.00,5,True
309,0,,5.00,5,True
310,0,,5.00,5,True
311,0,,5.00,5,True
312,0,,5.00,5,True
313,0,,5.00,5,True
314,0,,5.00,5,True
315,0,,5.00,5,True
316,0,,5.00,5,True
317,0,5,5.00,6,True
318,0,5,5.00,7,True
319,0,5,5.00,8,True
320,0,,5.00,8,True
321,0,,5.00,8,True
322,0,,5.00,8,True
323,0,,5.00,8,True
324,0,,5.00,8,True
325,0,,5.00,8,True
326,0,,5.00,8,True
327,0,5,5.00,9,True
328,0,,5.00,9,True
329,0,,5.00,9,True
330,0,5,5.00,10,True
331,0,,5.00,10,True
332,0,5,5.00,11,True
333,0,,5.00,11,True
334,0,5,5.00,12,True
335,0,5,5.00,13,True
336,0,,5.00,13,True
337,0,,5.00,13,True
338,0,,5.00,13,True
339,0,,5.00,13,True
340,0,,5.00,13,True
341,0,,5.00,13,True
342,0,,5.00,13,True
343,0,5,5.00,14,True
344,0,,5.00,14,True
345,0,,5.00,14,True
346,0,,5.00,14,True
347,0,,5.00,14,True
348,0,,5.00,14,True
349,0,,5.00,14,True
350,0,5,5.00,15,True
351,0,,5.00,15,True
352,0,,5.00,15,True
353,0,,5.00,15,True
354,0,,5.00,15,True
355,0,,5.00,15,True
356,0,,5.00,15,True
357,0,,5.00,15,True
358,0,,5.00,15,True
359,0,,5.00,15,True
360,0,5,5.00,16,True
361,0,,5.00,16,True
362,0,,5.00,16,True
363,0,,5.00,16,True
364,0,5,5.00,17,True
365,0,,5.00,17,True
366,0,,5.00,17,True
367,0,,5.00,17,True
368,0,,5.00,17,True
369,0,5,5.00,18,True
370,0,,5.00,18,True
371,0,,5.00,18,True
372,0,,5.00,18,True
373,0,,5.00,18,True
374,0,,5.00,18,True
375,0,4,4.95,19,True
376,0,,4.95,19,True
377,0,,4.95,19,True
378,0,,4.95,19,True
379,0,,4.95,19,True
380,0,,4.95,19,True
381,0,,4.95,19,True
382,0,,4.95,19,True
383,0,,4.95,19,True
384,0,,4.95,19,True
385,0,5,4.95,20,True
386,0,,4.95,20,True
387,0,,4.95,20,True
388,0,,4.95,20,True
389,0,,4.95,20,True
390,0,,4.95,20,True
391,0,,4.95,20,True
392,0,,4.95,20,True
393,0,,4.95,20,True
394,0,,4.95,20,True
395,0,,4.95,20,True
396,0,,4.95,20,True
397,0,,4.95,20,True
398,0,5,4.95,21,True
399,0,,4.95,21,True
400,0,,4.95,21,True
401,0,,4.95,21,True
402,0,,4.95,21,True
403,0,,4.95,21,True
404,0,5,4.95,22,True
405,0,,4.95,22,True
406,0,,4.95,22,True
407,0,,4.95,22,True
408,0,,4.95,22,True
409,0,,4.95,22,True
410,0,,4.95,22,True
411,0,,4.95,22,True
412,0,,4.95,22,True
413,0,,4.95,22,True
414,0,,4.95,22,True
415,0,,4.95,22,True
416,0,,4.95,22,True
417,0,5,4.96,23,True
418,0,,4.96,23,True
419,0,5,4.96,24,True
420,0,,4.96,24,True
421,0,,4.96,24,True
422,0,,4.96,24,True
423,0,,4.96,24,True
424,0,,4.96,24,True
425,0,4,4.92,25,True
426,0,5,4.92,26,True
427,0,,4.92,26,True
428,0,,4.92,26,True
429,0,,4.92,26,True
430,0,,4.92,26,True
431,0,,4.92,26,True
432,0,,4.92,26,True
433,0,,4.92,26,True
434,0,,4.92,26,True
435,0,,4.92,26,True
436,0,,4.92,26,True
437,0,,4.92,26,True
438,0,,4.92,26,True
439,0,,4.92,26,True
440,0,,4.92,26,True
441,0,,4.92,26,True
442,0,,4.92,26,True
443,0,,4.92,26,True
444,0,,4.92,26,True
445,0,,4.92,26,True
446,0,,4.92,26,True
447,0,,4.92,26,True
448,0,,4.92,26,True
449,0,,4.92,26,True
450,0,5,4.93,27,True
451,0,,4.93,27,True
452,0,,4.93,27,True
453,0,,4.93,27,True
454,0,,4.93,27,True
455,0,5,4.93,28,True
456,0,4,4.90,29,True
457,0,,4.90,29,True
458,0,,4.90,29,True
459,0,,4.90,29,True
460,0,,4.90,29,True
461,0,,4.90,29,True
462,0,,4.90,29,True
463,0,,4.90,29,True
464,0,,4.90,29,True
465,0,,4.90,29,True
466,0,,4.90,29,True
467,0,,4.90,29,True
468,0,,4.90,29,True
469,0,4,4.87,30,True
470,0,,4.87,30,True
471,0,5,4.87,31,True
472,0,,4.87,31,True
473,0,,4.87,31,True
474,0,,4.87,31,True
475,0,,4.87,31,True
476,0,,4.87,31,True
477,0,,4.87,31,True
478,0,,4.87,31,True
479,0,,4.87,31,True
480,0,,4.87,31,True
481,0,,4.87,31,True
482,0,,4.87,31,True
483,0,,4.87,31,True
484,0,5,4.88,32,True
485,0,,4.88,32,True
486,0,,4.88,32,True
487,0,,4.88,32,True
488,0,,4.88,32,True
489,0,,4.88,32,True
490,0,,4.88,32,True
491,0,,4.88,32,True
492,0,5,4.88,33,True
493,0,5,4.88,34,True
494,0,5,4.89,35,True
495,0,,4.89,35,True
496,0,,4.89,35,True
497,0,,4.89,35,True
498,0,,4.89,35,True
499,0,,4.89,35,True
500,0,4,4.86,36,True
501,0,,4.86,36,True
502,0,,4.86,36,True
503,0,,4.86,36,True
504,0,,4.86,36,True
505,0,,4.86,36,True
506,0,,4.86,36,True
507,0,,4.86,36,True
508,0,5,4.86,37,True
509,0,,4.86,37,True
510,0,,4.86,37,True
511,0,,4.86,37,True
512,0,5,4.87,38,True
513,0,,4.87,38,True
514,0,5,4.87,39,True
515,0,,4.87,39,True
516,0,,4.87,39,True
517,0,,4.87,39,True
518,0,,4.87,39,True
519,0,,4.87,39,True
520,0,,4.87,39,True
521,0,,4.87,39,True
522,0,,4.87,39,True
523,0,,4.87,39,True
524,0,,4.87,39,True
525,0,,4.87,39,True
526,0,5,4.88,40,True
527,0,5,4.88,41,True
528,0,,4.88,41,True
529,0,,4.88,41,True
530,0,,4.88,41,True
531,0,,4.88,41,True
532,0,,4.88,41,True
533,0,,4.88,41,True
534,0,,4.88,41,True
535,0,,4.88,41,True
536,0,5,4.88,42,True
537,0,,4.88,42,True
538,0,,4.88,42,True
539,0,,4.88,42,True
540,0,,4.88,42,True
541,0,,4.88,42,True
542,0,,4.88,42,True
543,0,,4.88,42,True
544,0,,4.88,42,True
545,0,,4.88,42,True
546,0,,4.88,42,True
547,0,5,4.88,43,True
548,0,5,4.89,44,True
549,0,,4.89,44,True
550,0,,4.89,44,True
551,0,,4.89,44,True
552,0,,4.89,44,True
553,0,,4.89,44,True
554,0,,4.89,44,True
555,0,,4.89,44,True
556,0,,4.89,44,True
557,0,4,4.87,45,True
558,0,,4.87,45,True
559,0,,4.87,45,True
560,0,,4.87,45,True
561,0,,4.87,45,True
562,0,,4.87,45,True
563,0,,4.87,45,True
564,0,,4.87,45,True
565,0,,4.87,45,True
566,0,,4.87,45,True
567,0,,4.87,45,True
568,0,,4.87,45,True
569,0,,4.87,45,True
570,0,5,4.87,46,True
571,0,,4.87,46,True
572,0,,4.87,46,True
573,0,,4.87,46,True
574,0,,4.87,46,True
575,0,5,4.87,47,True
576,0,,4.87,47,True
577,0,,4.87,47,True
578,0,,4.87,47,True
579,0,5,4.88,48,True
580,0,,4.88,48,True
581,0,,4.88,48,True
582,0,,4.88,48,True
583,0,,4.88,48,True
584,0,,4.88,48,True
585,0,,4.88,48,True
586,0,,4.88,48,True
587,0,,4.88,48,True
588,0,,4.88,48,True
589,0,,4.88,48,True
590,0,,4.88,48,True
591,0,,4.88,48,True
592,0,,4.88,48,True
593,0,,4.88,48,True
594,0,,4.88,48,True
595,0,,4.88,48,True
596,0,,4.88,48,True
597,0,,4.88,48,True
598,0,,4.88,48,True
599,0,,4.88,48,True
600,0,,4.88,48,True
601,0,,4.88,48,True
602,0,4,4.86,49,True
603,0,,4.86,49,True
604,0,5,4.86,50,True
605,0,,4.86,50,True
606,0,,4.86,50,True
607,0,,4.86,50,True
608,0,5,4.86,51,True
609,0,,4.86,51,True
610,0,,4.86,51,True
611,0,,4.86,51,True
612,0,,4.86,51,True
613,0,,4.86,51,True
614,0,,4.86,51,True
615,0,,4.86,51,True
616,0,,4.86,51,True
617,0,,4.86,51,True
618,0,,4.86,51,True
619,0,,4.86,51,True
620,0,5,4.87,52,True
621,0,,4.87,52,True
622,0,,4.87,52,True
623,0,,4.87,52,True
624,0,,4.87,52,True
625,0,,4.87,52,True
626,0,,4.87,52,True
627,0,5,4.87,53,True
628,0,,4.87,53,True
629,0,,4.87,53,True
630,0,,4.87,53,True
631,0,,4.87,53,True
632,0,,4.87,53,True
633,0,,4.87,53,True
634,0,,4.87,53,True
635,0,,4.87,53,True
636,0,,4.87,53,True
637,0,,4.87,53,True
638,0,,4.87,53,True
639,0,,4.87,53,True
640,0,5,4.87,54,True
641,0,,4.87,54,True
642,0,,4.87,54,True
643,0,,4.87,54,True
644,0,,4.87,54,True
645,0,5,4.87,55,True
646,0,,4.87,55,True
647,0,,4.87,55,True
648,0,5,4.88,56,True
649,0,,4.88,56,True
650,0,,4.88,56,True
651,0,,4.88,56,True
652,0,,4.88,56,True
653,0,,4.88,56,True
654,0,,4.88,56,True
655,0,,4.88,56,True
656,0,,4.88,56,True
657,0,,4.88,56,True
658,0,5,4.88,57,True
659,0,,4.88,57,True
660,0,,4.88,57,True
661,0,,4.88,57,True
662,0,,4.88,57,True
663,0,,4.88,57,True
664,0,5,4.88,58,True
665,0,,4.88,58,True
666,0,,4.88,58,True
667,0,,4.88,58,True
668,0,,4.88,58,True
669,0,,4.88,58,True
670,0,,4.88,58,True
671,0,,4.88,58,True
672,0,,4.88,58,True
673,0,,4.88,58,True
674,0,5,4.88,59,True
675,0,,4.88,59,True
676,0,,4.88,59,True
677,0,,4.88,59,True
678,0,,4.88,59,True
679,0,,4.88,59,True
680,0,5,4.88,60,True
681,0,5,4.89,61,True
682,0,,4.89,61,True
683,0,5,4.89,62,True
684,0,5,4.89,63,True
685,0,,4.89,63,True
686,0,,4.89,63,True
687,0,,4.89,63,True
688,0,,4.89,63,True
689,0,,4.89,63,True
690,0,,4.89,63,True
691,0,,4.89,63,True
692,0,,4.89,63,True
693,0,5,4.89,64,True
694,0,,4.89,64,True
695,0,,4.89,64,True
696,0,,4.89,64,True
697,0,,4.89,64,True
698,0,,4.89,64,True
699,0,,4.89,64,True
700,0,,4.89,64,True
701,0,,4.89,64,True
702,0,,4.89,64,True
703,0,,4.89,64,True
704,0,,4.89,64,True
705,0,,4.89,64,True
706,0,,4.89,64,True
707,0,,4.89,64,True
708,0,,4.89,64,True
709,0,,4.89,64,True
710,0,,4.89,64,True
711,0,,4.89,64,True
712,0,5,4.89,65,True
713,0,,4.89,65,True
714,0,,4.89,65,True
715,0,,4.89,65,True
716,0,,4.89,65,True
717,0,,4.89,65,True
718,0,,4.89,65,True
719,0,,4.89,65,True
720,0,,4.89,65,True
721,0,,4.89,65,True
722,0,,4.89,65,True
723,0,,4.89,65,True
724,0,,4.89,65,True
725,0,5,4.89,66,True
726,0,,4.89,66,True
727,0,,4.89,66,True
728,0,,4.89,66,True
729,0,,4.89,66,True
730,0,,4.89,66,True
